City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
372,Port Moresby,PG,76.55,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
382,Porto Velho,BR,82.45,scattered clouds,-8.7619,-63.9039,Ecos Hotel Conforto
385,Trinidad,BO,87.78,broken clouds,-14.8333,-64.9,Hotel Piesta
394,Morondava,MG,80.33,overcast clouds,-20.2833,44.2833,La Case Bambou
396,Teseney,ER,75.15,clear sky,15.11,36.6575,Sabrin Hotel
399,Miramar,US,81.01,broken clouds,25.9873,-80.2323,Stadium Hotel
402,Arawa,PG,78.28,overcast clouds,-6.2132,155.5367,Coastline Guest House
412,Bengkulu,ID,76.32,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
415,Calama,CL,75.69,clear sky,-22.4667,-68.9333,Park Hotel Calama
431,Dunmore Town,BS,75.16,few clouds,25.5,-76.65,Coral Sands Hotel
435,Kerema,PG,77.81,overcast clouds,-7.9631,145.7785,Frena Lodge
437,Alugan,PH,79.41,overcast clouds,12.2188,125.4808,JM Lodge
442,Mogadishu,SO,77.07,clear sky,2.0371,45.3438,Hotel Juba
443,Barra Do Garcas,BR,84.18,broken clouds,-15.89,-52.2567,Pousada Tropical
446,Carahue,CL,77.2,scattered clouds,-38.7,-73.1667,Hospedaje Familiar
448,Sadao,TH,76.82,broken clouds,6.6388,100.4234,Banana Resort Sadao
457,Imbituba,BR,75.09,clear sky,-28.24,-48.6703,Praia Hotel Imbituba
463,Manokwari,ID,77.45,moderate rain,-0.8667,134.0833,Swiss Belhotel Manokwari
464,Takoradi,GH,79.83,few clouds,4.8845,-1.7554,Raybow International Hotel
467,Boyuibe,BO,88.14,scattered clouds,-20.4167,-63.2833,Residencial Eluzai
471,Neiafu,TO,78.98,overcast clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
476,Manakara,MG,78.12,light rain,-22.1333,48.0167,La Residence Manakara
477,Harper,LR,79.18,clear sky,4.375,-7.7169,Screensaver
493,Canutama,BR,79.36,overcast clouds,-6.5339,-64.3831,Hotel Jhennifer
498,Juba,SS,79.63,scattered clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
504,Itarema,BR,82.9,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
507,Jose Bonifacio,BR,84.4,scattered clouds,-21.0528,-49.6883,HOTEL DOS VIAJANTES
514,Necochea,AR,75.72,clear sky,-38.5473,-58.7368,dyd -mar Hotel
516,Buchanan,LR,80.56,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
525,Suba,PH,79.68,overcast clouds,10.8438,121.0102,Jarnchi Pension House
528,Colesberg,ZA,75.2,clear sky,-30.72,25.0972,Bhelekazi Guesthouse
536,Sinnamary,GF,80.19,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
539,Denpasar,ID,76.71,broken clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
541,Humberto De Campos,BR,81.61,scattered clouds,-2.5983,-43.4611,Pousada do Cabeça
544,Santo Tomas,PH,77.32,few clouds,14.1079,121.1414,Microtel by Wyndham Batangas
546,Buala,SB,80.58,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
549,Tevaitoa,PF,81.55,overcast clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
551,Namatanai,PG,79.21,light rain,-3.6667,152.4333,Seagulls Inn Namatani
552,Port Hedland,AU,77.05,broken clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
553,Rosarito,MX,81.41,clear sky,32.3333,-117.0333,Hotel Festival Plaza Rosarito
555,San Policarpo,PH,80.1,overcast clouds,12.1791,125.5072,Agapita M. Nicart
557,Puerto Baquerizo Moreno,EC,81.59,scattered clouds,-0.9,-89.6,Hotel los Algarrobos
558,Lorengau,PG,81.45,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
559,Sungairaya,ID,75.97,moderate rain,0.7,108.9,Rumah Kuku Moimoi Shelly
562,Lagoa Vermelha,BR,79.39,clear sky,-28.2086,-51.5258,Hotel Kaianã
