City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
124,San Ramon,US,37.7799,-121.978,70.56,41,0,8.99,clear sky
125,Thompson,CA,55.7435,-97.8558,28.67,92,100,11.27,overcast clouds
126,Puerto Colombia,CO,10.9878,-74.9547,81.19,76,10,19.98,clear sky
127,Nchelenge,ZM,-9.3451,28.734,71.64,81,86,4.32,light rain
128,Airai,TL,-8.9266,125.4092,60.71,96,100,1.59,overcast clouds
129,Caravelas,BR,-17.7125,-39.2481,81.05,74,100,8.48,overcast clouds
130,Guerrero Negro,MX,27.9769,-114.0611,72.95,22,57,4.47,broken clouds
131,Alwar,IN,27.5667,76.6,58.23,76,61,3.74,broken clouds
132,Marsa Matruh,EG,31.3525,27.2453,56.26,75,65,24.07,broken clouds
133,Puerto Ayora,EC,-0.7393,-90.3518,82.36,70,55,10.89,broken clouds
134,Alta Floresta,BR,-9.8756,-56.0861,84.02,84,75,5.75,broken clouds
135,Comarapa,BO,-17.9,-64.4833,67.1,59,98,5.37,overcast clouds
136,Cehegin,ES,38.0924,-1.7985,48.24,84,0,3.27,clear sky
137,Dunedin,NZ,-45.8742,170.5036,57.79,89,100,4.0,overcast clouds
138,Searcy,US,35.2506,-91.7363,63.01,32,0,9.22,clear sky
139,Klaksvik,FO,62.2266,-6.589,34.72,68,99,40.04,overcast clouds
140,Florida,US,28.7505,-82.5001,54.01,94,100,6.91,drizzle
141,Mundo Nuevo,MX,18.7,-95.5,64.02,80,100,23.24,overcast clouds
142,Bacalar,MX,18.6667,-88.3833,74.7,83,95,4.0,overcast clouds
143,Chalmette,US,29.9427,-89.9634,63.12,45,0,3.44,clear sky
144,Marrakesh,MA,31.6315,-8.0083,71.67,28,40,13.8,scattered clouds
145,Lata,PT,40.1629,-8.3327,55.08,62,0,4.05,clear sky
146,Dicabisagan,PH,17.0818,122.4157,74.17,85,61,2.62,broken clouds
147,Gladstone,AU,-23.85,151.25,67.93,83,3,4.61,clear sky
148,Maragogi,BR,-9.0122,-35.2225,81.79,71,0,12.15,clear sky
149,Bilibino,RU,68.0546,166.4372,-25.85,74,14,2.06,few clouds
150,Dukat,RU,62.55,155.55,-20.99,66,95,2.53,overcast clouds
151,Biak,ID,-0.9131,122.8766,75.0,81,100,2.04,overcast clouds
152,Alamor,EC,-4.0181,-80.0197,65.37,84,100,4.23,light rain
153,Adrar,MR,20.5022,-10.0711,71.4,10,81,10.22,broken clouds
154,Alice Springs,AU,-23.7,133.8833,72.95,88,100,0.0,overcast clouds
155,Inhambane,MZ,-23.865,35.3833,74.17,84,0,8.03,clear sky
156,Winona,US,43.9666,-91.7668,37.94,68,0,0.0,clear sky
157,Bara,NG,10.3744,10.7288,77.34,17,89,7.85,overcast clouds
158,Balkhash,KZ,46.844,74.9804,15.24,88,100,11.14,overcast clouds
159,Kpandae,GH,8.4689,-0.0113,87.62,14,34,2.75,scattered clouds
160,Kaitangata,NZ,-46.2817,169.8464,56.25,92,100,7.2,overcast clouds
161,Kodiak,US,57.79,-152.4072,27.68,77,43,6.82,scattered clouds
162,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.59,87,64,4.38,light rain
163,San Cristobal,VE,7.7669,-72.225,81.68,52,71,5.64,broken clouds
164,Marawi,PH,7.9986,124.2928,65.64,93,100,1.95,heavy intensity rain
165,Salinopolis,BR,-0.6136,-47.3561,80.98,79,84,7.67,broken clouds
166,Faanui,PF,-16.4833,-151.75,81.68,77,14,17.72,few clouds
167,Meulaboh,ID,4.1363,96.1285,74.89,91,100,3.67,overcast clouds
168,Cape Town,ZA,-33.9258,18.4232,69.28,71,51,1.01,broken clouds
169,Vardo,NO,70.3705,31.1107,30.18,74,75,23.02,broken clouds
170,Norman Wells,CA,65.282,-126.8329,-22.45,93,99,1.07,overcast clouds
171,Tayshet,RU,55.9342,98.0044,-5.12,99,100,3.02,overcast clouds
172,Mount Isa,AU,-20.7333,139.5,73.17,100,1,4.61,clear sky
173,Springfield,US,37.2153,-93.2982,59.04,38,0,13.0,clear sky
174,Guaranda,EC,-1.6,-79.0,57.0,95,100,2.73,light rain
175,Medicine Hat,CA,50.0501,-110.6683,44.73,48,100,1.01,overcast clouds
176,Luderitz,NA,-26.6481,15.1594,73.72,70,53,9.48,broken clouds
177,Korla,CN,41.7597,86.1469,24.53,49,78,3.38,broken clouds
178,Eureka,US,40.8021,-124.1637,62.2,75,0,4.0,clear sky
179,San Rafael,AR,-34.6177,-68.3301,91.31,20,1,13.09,clear sky
180,Annau,TM,37.8876,58.516,44.28,48,0,2.24,clear sky
181,Beringovskiy,RU,63.05,179.3167,-21.98,91,5,12.3,clear sky
182,Trojanovice,CZ,49.5204,18.238,39.13,98,100,6.69,overcast clouds
183,Zhigalovo,RU,54.8097,105.1578,-3.1,100,99,2.01,overcast clouds
184,Sur,OM,22.5667,59.5289,69.8,54,0,8.9,clear sky
185,Yellowknife,CA,62.456,-114.3525,-12.59,88,98,4.23,overcast clouds
186,Merrill,US,45.1805,-89.6835,35.58,62,75,9.22,broken clouds
187,Soyo,AO,-6.1349,12.3689,78.42,82,9,8.52,clear sky
188,Broken Hill,AU,-31.95,141.4333,73.99,45,65,5.06,broken clouds
189,Labuhan,ID,-6.8844,112.2051,76.3,92,100,4.9,overcast clouds
190,Leningradskiy,RU,69.3833,178.4167,-27.35,80,12,3.6,few clouds
191,Mezen,RU,65.8522,44.24,16.97,93,100,10.78,overcast clouds
192,Lazaro Cardenas,MX,17.9583,-102.2,81.52,61,5,10.02,clear sky
193,Isiro,CD,2.7739,27.616,70.68,39,61,2.75,broken clouds
194,Cayeli,TR,41.0923,40.7292,54.0,62,100,4.63,overcast clouds
195,Georgetown,MY,5.4112,100.3354,78.73,88,20,0.0,heavy intensity rain
196,Catuday,PH,16.2923,119.8062,76.51,72,99,12.06,overcast clouds
197,Maniitsoq,GL,65.4167,-52.9,-2.54,84,99,18.72,overcast clouds
198,Belomorsk,RU,64.5232,34.7668,12.27,97,93,5.12,overcast clouds
199,Vila Velha,BR,-20.3297,-40.2925,83.95,72,25,10.0,scattered clouds
200,Santo Antonio Do Ica,BR,-3.1022,-67.9397,76.53,94,96,4.12,overcast clouds
201,Houma,US,29.5958,-90.7195,60.8,44,0,4.61,clear sky
202,Honiara,SB,-9.4333,159.95,78.42,89,100,6.82,overcast clouds
203,Sao Filipe,CV,14.8961,-24.4956,72.79,73,2,3.74,clear sky
204,Magadan,RU,59.5667,150.8,1.42,71,69,7.96,broken clouds
205,Cap Malheureux,MU,-19.9842,57.6142,75.69,78,69,1.99,broken clouds
206,Bambous Virieux,MU,-20.3428,57.7575,75.45,88,40,3.44,scattered clouds
207,Freetown,SL,8.484,-13.2299,77.54,78,7,9.26,clear sky
208,Lagoa,PT,39.05,-27.9833,59.56,71,72,6.67,broken clouds
209,Baiyin,CN,36.5583,104.2081,18.82,68,10,2.98,clear sky
210,Pedernales,DO,18.0384,-71.744,82.18,63,29,3.22,scattered clouds
211,Raudeberg,NO,61.9875,5.1352,39.87,83,100,34.9,overcast clouds
212,Alekseyevskaya,RU,50.2896,42.1845,33.82,92,100,15.08,overcast clouds
213,Lepe,ES,37.2548,-7.2043,59.11,80,0,10.54,clear sky
214,Monywa,MM,22.1167,95.1333,62.65,46,6,5.82,clear sky
215,Nerchinskiy Zavod,RU,51.3088,119.61,-15.23,100,92,3.22,overcast clouds
216,Fare,PF,-16.7,-151.0167,81.57,77,98,20.2,overcast clouds
217,Shingu,JP,33.7333,135.9833,34.92,83,100,6.02,overcast clouds
218,Namibe,AO,-15.1961,12.1522,73.87,78,100,10.74,overcast clouds
219,Saint Anthony,US,45.0205,-93.218,40.33,67,40,8.05,scattered clouds
220,Ocampo,MX,21.65,-101.5,61.66,27,15,11.39,few clouds
221,Naron,ES,43.5167,-8.1528,55.02,80,6,3.96,clear sky
222,Ruidoso,US,33.3317,-105.673,55.87,23,0,11.5,clear sky
223,Poya,NC,-21.35,165.15,79.57,90,98,14.2,overcast clouds
224,Yuyao,CN,30.05,121.1494,44.8,87,100,2.77,overcast clouds
225,Hobart,AU,-42.8794,147.3294,55.27,87,40,3.44,scattered clouds
226,Almendralejo,ES,38.6832,-6.4075,58.26,53,0,8.01,clear sky
227,Ilheus,BR,-14.7889,-39.0494,82.62,68,1,8.08,clear sky
228,Sinor,IN,21.9167,73.3333,65.8,62,5,5.64,clear sky
229,Provideniya,RU,64.3833,-173.3,-15.07,83,1,12.97,clear sky
230,Victoria,HK,22.2855,114.1577,62.26,84,100,8.99,overcast clouds
231,Flora,US,38.6689,-88.4856,51.1,59,0,12.66,clear sky
232,Padang,ID,-0.9492,100.3543,77.09,81,100,5.23,overcast clouds
233,Batemans Bay,AU,-35.7167,150.1833,63.19,88,5,3.76,clear sky
234,Sao Felix Do Xingu,BR,-6.6447,-51.995,85.33,69,42,2.17,light rain
235,Maceio,BR,-9.6658,-35.7353,85.44,61,20,13.8,few clouds
236,Olavarria,AR,-36.8927,-60.3225,77.02,51,10,5.82,clear sky
237,Najran,SA,17.4924,44.1277,56.82,33,2,2.48,clear sky
238,Rocha,UY,-34.4833,-54.3333,71.65,56,1,9.71,clear sky
239,Vila Franca Do Campo,PT,37.7167,-25.4333,59.2,76,98,7.49,overcast clouds
240,Puri,IN,19.8,85.85,68.52,70,59,6.08,broken clouds
241,Bubaque,GW,11.2833,-15.8333,78.3,74,5,14.38,clear sky
242,Carnarvon,AU,-24.8667,113.6333,75.99,63,0,20.22,clear sky
243,East London,ZA,-33.0153,27.9116,75.61,86,2,9.89,clear sky
244,Walvis Bay,NA,-22.9575,14.5053,72.09,77,53,3.83,broken clouds
245,Taganak,PH,6.0833,118.3,80.1,81,100,7.56,overcast clouds
246,West Bend,US,43.4253,-88.1834,40.15,57,0,9.22,clear sky
247,Kasongo-Lunda,CD,-6.4667,16.8167,70.7,93,100,0.45,overcast clouds
248,Nuevo Progreso,MX,23.1667,-97.95,69.55,24,44,1.99,scattered clouds
249,Menongue,AO,-14.6585,17.691,64.81,96,100,2.68,light rain
250,Finschhafen,PG,-6.6024,147.8681,79.81,82,100,10.69,overcast clouds
251,Asau,RO,46.4333,26.4,30.4,89,10,5.73,clear sky
252,Lompoc,US,34.6391,-120.4579,81.1,30,0,4.61,clear sky
253,Tevriz,RU,57.509,72.4042,-2.29,100,73,4.36,broken clouds
254,Severo-Kurilsk,RU,50.6789,156.125,30.47,92,95,27.96,light snow
255,Niimi,JP,34.9833,133.4667,28.4,90,100,2.64,overcast clouds
256,Price,US,39.5994,-110.8107,49.41,31,0,4.61,clear sky
257,Miraflores,MX,19.2167,-98.8083,66.87,38,32,10.2,scattered clouds
258,Banjar,ID,-8.19,114.9675,76.91,88,84,2.48,broken clouds
259,Kupang,ID,-10.1667,123.5833,79.5,80,99,1.01,overcast clouds
260,Kudahuvadhoo,MV,2.6708,72.8944,82.49,66,100,11.97,overcast clouds
261,Brindisi,IT,40.5833,17.6667,48.56,48,3,23.06,clear sky
262,El Prat De Llobregat,ES,41.3278,2.0947,56.19,89,20,8.05,few clouds
263,Kavieng,PG,-2.5744,150.7967,80.91,80,100,8.3,light rain
264,Shenjiamen,CN,29.9576,122.298,44.29,68,58,9.24,broken clouds
265,Fiche,ET,9.8,38.7333,55.74,62,98,6.2,light rain
266,Novichikha,RU,52.204,81.3877,-4.31,100,97,3.53,overcast clouds
267,Dingle,PH,10.9995,122.6711,74.23,89,82,9.71,broken clouds
268,Mafeteng,LS,-29.823,27.2374,68.11,32,46,3.96,scattered clouds
269,San Joaquin,US,37.9333,-121.3011,70.79,56,0,0.0,clear sky
270,Touros,BR,-5.1989,-35.4608,86.9,64,5,16.46,clear sky
271,Pacific Grove,US,36.6177,-121.9166,74.39,48,0,4.0,clear sky
272,Alakurtti,RU,66.9672,30.3491,11.46,98,98,2.19,overcast clouds
273,Kampot,KH,10.6167,104.1833,77.05,81,92,3.56,overcast clouds
274,Acarau,BR,-2.8856,-40.12,83.14,73,7,16.06,clear sky
275,Yulara,AU,-25.2406,130.9889,76.82,61,62,9.95,broken clouds
276,Nanortalik,GL,60.1432,-45.2371,12.61,57,0,31.29,clear sky
277,Marsh Harbour,BS,26.5412,-77.0636,74.32,76,14,7.78,few clouds
278,Majengo,TZ,-5.15,38.9833,75.04,87,87,6.2,overcast clouds
279,Komsomolskiy,UZ,40.4272,71.7189,35.02,93,100,3.04,light snow
280,Port-Cartier,CA,50.0334,-66.8654,21.74,94,100,13.98,light snow
281,Hidas,HU,46.2568,18.4954,41.65,75,100,6.82,overcast clouds
282,Sohag,EG,26.557,31.6948,60.58,24,0,7.7,clear sky
283,Teahupoo,PF,-17.8333,-149.2667,80.53,78,86,19.69,overcast clouds
284,Bonavista,CA,48.6499,-53.1147,32.11,79,100,14.67,overcast clouds
285,Nome,US,64.5011,-165.4064,1.47,55,100,20.71,overcast clouds
286,Giraltovce,SK,49.114,21.5173,40.3,93,100,3.15,overcast clouds
287,Lota,CL,-37.0833,-73.1667,76.46,50,8,16.8,clear sky
288,Vanavara,RU,60.34,102.2797,-23.51,98,34,4.63,scattered clouds
289,Aitape,PG,-3.1374,142.3475,76.84,89,46,3.0,scattered clouds
290,Sambava,MG,-14.2667,50.1667,75.58,91,89,4.34,light rain
291,Kiunga,PG,-6.1219,141.2906,72.88,100,100,1.97,moderate rain
292,Vigia,BR,-0.8583,-48.1417,78.85,87,72,7.72,broken clouds
293,Mayumba,GA,-3.432,10.6554,77.97,90,97,7.52,overcast clouds
294,Valdosta,US,30.8327,-83.2785,55.31,54,0,6.91,clear sky
295,Tall Kayf,TR,37.0833,41.0667,45.09,73,100,12.41,overcast clouds
